1052_s_at,2020_at,33131_at,35917_at,36197_at,36617_at,38833_at,40483_at,41016_at,769_s_at,label
167.9,27.6,60.6,98.7,200.7,156.7,109.2,10.0,10.0,3039.3,1
148.51,10.0,10.0,2482.6,20.99,205.71,138.01,105.35,140.64,247.03,1
354.78,144.75,363.99,239.64,1131.6,520.86,525.15,274.85,40.66,1880.0,1
158.48,53.45,1095.1,228.47,19.89,353.31,689.6,345.96,300.7,233.49,1
75.3,47.96,96.94,2025.2,17.75,222.65,250.6,114.89,85.92,520.39,1
410.88,32.38,94.73,492.28,1434.7,1194.7,608.25,24.26,17.59,2538.7,1
669.72,32.24,89.95,200.45,889.71,280.35,915.64,775.0,61.91,2353.0,1
455.08,98.66,96.47,229.14,1480.6,808.12,717.82,22.03,10.0,2820.3,1
322.62,217.03,360.63,320.32,327.01,316.15,859.83,434.96,281.28,1332.5,1
192.65,463.89,729.27,299.08,13.29,90.83,61.95,933.12,127.67,406.86,1
398.98,263.74,151.44,278.63,362.36,117.5,630.86,617.0,132.47,1627.1,1
267.63,215.38,514.67,310.89,10.0,1069.4,309.64,506.94,813.13,503.7,1
557.4,127.66,147.28,571.07,878.18,148.51,1162.4,267.88,160.95,1827.4,1
261.75,200.05,75.69,1371.1,361.37,215.84,667.23,391.32,97.34,909.11,1
44.1,268.5,82.8,314.3,10.0,325.7,173.1,113.8,365.1,266.4,0
489.38,16.67,79.08,93.74,1081.3,271.98,727.59,100.36,10.0,1149.7,0
68.36,46.59,10.64,942.1,10.0,71.58,81.66,39.82,88.35,258.36,0
107.41,195.46,59.28,176.65,115.46,64.23,160.98,120.74,395.82,500.41,0
19.1,10.0,146.76,119.78,10.0,159.06,28.45,32.14,10.0,796.59,0
81.96,24.42,46.62,162.3,124.68,131.24,158.91,332.49,49.72,362.3,0
24.18,11.14,140.11,99.09,10.0,685.14,165.99,150.16,685.82,209.32,0
303.56,46.2,71.88,154.16,953.9,253.74,201.41,215.24,12.36,1354.4,0
264.75,26.69,81.76,63.3,460.48,44.84,288.92,316.99,10.0,1036.9,0
392.3,24.71,38.9,255.78,295.14,388.13,118.1,188.32,32.62,983.34,0
79.87,183.02,163.94,203.29,34.27,80.88,101.14,190.46,77.2,420.05,0
201.64,35.39,58.52,89.81,195.26,237.42,98.63,504.52,12.26,701.94,0
332.68,96.75,288.15,68.9,387.34,193.49,228.61,110.18,62.39,991.19,0
232.13,26.85,217.15,284.74,10.0,393.53,213.01,168.1,279.36,372.64,0
